Season,TEAM,RK,HOME_GMS,HOME_TOTAL,HOME_AVG,HOME_PCT,ROAD_GMS,ROAD_AVG,ROAD_PCT,OVERALL_GMS,OVERALL_AVG,OVERALL_PCT
2014-2015,2015 Attendance,2015 Attendance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-2015,TEAM,RK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-2025,Magic,,41,762121,0,NA,41,0,NA,82,0,NA
2024-2025,76ers,,41,813621,0,NA,41,0,NA,82,0,NA
2024-2025,Suns,,41,699911,0,NA,41,0,NA,82,0,NA
2024-2025,Trail Blazers,,41,719369,0,NA,41,0,NA,82,0,NA
2024-2025,Kings,,41,679565,0,NA,41,0,NA,82,0,NA
2024-2025,Spurs,,41,731474,0,NA,41,0,NA,82,0,NA
2024-2025,Thunder,,42,754832,0,NA,40,0,NA,82,0,NA
2024-2025,Jazz,,41,745175,0,NA,41,0,NA,82,0,NA
2024-2025,Wizards,,41,663691,0,NA,41,0,NA,82,0,NA
2024-2025,Raptors,,41,768573,0,NA,41,0,NA,82,0,NA
